Match Date,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
2016-07-04,LA Galaxy,Vancouver Whitecaps FC,,
2016-07-06,New England Revolution,New York City FC,,
2016-07-08,Orlando City SC,Houston Dynamo,,
2016-07-08,San Jose Earthquakes,FC Dallas,,
2016-07-09,Seattle Sounders FC,LA Galaxy,,
2016-07-09,Philadelphia Union,D.C. United,,
2016-07-09,Toronto FC,Chicago Fire,,
2016-07-09,New England Revolution,Columbus Crew SC,,
2016-07-09,Real Salt Lake,Montreal Impact,,
2016-07-09,Vancouver Whitecaps FC,Colorado Rapids,,
2016-07-10,New York Red Bulls,Portland Timbers,,
2016-07-10,Sporting Kansas City,New York City FC,,
2016-07-13,Columbus Crew SC,Toronto FC,,
2016-07-13,New York Red Bulls,Orlando City SC,,
2016-07-13,Chicago Fire,Sporting Kansas City,,
2016-07-13,Vancouver Whitecaps FC,Real Salt Lake,,
2016-07-13,Seattle Sounders FC,FC Dallas,,
2016-07-13,Portland Timbers,Montreal Impact,,
2016-07-15,LA Galaxy,Houston Dynamo,,
2016-07-16,Columbus Crew SC,D.C. United,,
2016-07-16,FC Dallas,Chicago Fire,,
2016-07-16,Colorado Rapids,Sporting Kansas City,,
2016-07-16,Real Salt Lake,New England Revolution,,
2016-07-16,Vancouver Whitecaps FC,Orlando City SC,,
2016-07-16,San Jose Earthquakes,Toronto FC,,
2016-07-17,Portland Timbers,Seattle Sounders FC,,
2016-07-17,Montreal Impact,New York City FC,,
2016-07-17,Philadelphia Union,New York Red Bulls,,
2016-07-22,Real Salt Lake,San Jose Earthquakes,,
2016-07-23,Portland Timbers,LA Galaxy,,
2016-07-23,Toronto FC,D.C. United,,
2016-07-23,Columbus Crew SC,Orlando City SC,,
2016-07-23,New England Revolution,Chicago Fire,,
2016-07-23,Montreal Impact,Philadelphia Union,,
2016-07-23,Colorado Rapids,FC Dallas,,
2016-07-23,Houston Dynamo,Vancouver Whitecaps FC,,
2016-07-24,New York Red Bulls,New York City FC,,
2016-07-24,Sporting Kansas City,Seattle Sounders FC,,
2016-07-30,New York City FC,Colorado Rapids,,
2016-07-31,Sporting Kansas City,Portland Timbers,,
2016-07-31,Seattle Sounders FC,LA Galaxy,,
2016-07-31,FC Dallas,Vancouver Whitecaps FC,,
