Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
17,San Martín (SJ),Boca Juniors,,
17,Talleres (C),Olimpo,,
17,Banfield,Unión,,
17,Colón,Lanús,,
17,River Plate,Belgrano,,
17,Racing Club,Godoy Cruz,,
17,San Lorenzo,Quilmes,,
17,Rosario Central,Tigre,,
17,Gimnasia y Esgrima (LP),Sarmiento,,
17,Temperley,Atlético Tucumán,,
18,Temperley,Aldosivi,,
18,Atlético Tucumán,Gimnasia y Esgrima (LP),,
18,Sarmiento,Rosario Central,,
18,Tigre,San Lorenzo,,
18,Quilmes,Racing Club,,
18,Godoy Cruz,River Plate,,
18,Belgrano,Colón,,
18,Lanús,Banfield,,
18,Unión,Talleres (C),,
18,Olimpo,San Martín (SJ),,
18,Boca Juniors,Defensa y Justicia,,
18,Independiente,Vélez Sarsfield,,
18,Huracán,Patronato,,
18,Newell's Old Boys,Atlético de Rafaela,,
18,Estudiantes (LP),Arsenal,,
19,Aldosivi,Estudiantes (LP),,
19,Arsenal,Newell's Old Boys,,
19,Atlético de Rafaela,Huracán,,
19,Patronato,Independiente,,
19,Vélez Sarsfield,Boca Juniors,,
19,Defensa y Justicia,Olimpo,,
19,San Martín (SJ),Unión,,
19,Talleres (C),Lanús,,
19,Banfield,Belgrano,,
19,Colón,Godoy Cruz,,
19,River Plate,Quilmes,,
19,Racing Club,Tigre,,
19,San Lorenzo,Sarmiento,,
19,Rosario Central,Atlético Tucumán,,
19,Gimnasia y Esgrima (LP),Temperley,,
20,Gimnasia y Esgrima (LP),Aldosivi,,
20,Temperley,Rosario Central,,
20,Atlético Tucumán,San Lorenzo,,
20,Sarmiento,Racing Club,,
20,Tigre,River Plate,,
20,Quilmes,Colón,,
20,Godoy Cruz,Banfield,,
20,Belgrano,Talleres (C),,
20,Lanús,San Martín (SJ),,
20,Unión,Defensa y Justicia,,
20,Olimpo,Vélez Sarsfield,,
20,Boca Juniors,Patronato,,
20,Independiente,Atlético de Rafaela,,
20,Huracán,Arsenal,,
20,Newell's Old Boys,Estudiantes (LP),,
21,Aldosivi,Newell's Old Boys,,
21,Estudiantes (LP),Huracán,,
21,Arsenal,Independiente,,
21,Atlético de Rafaela,Boca Juniors,,
21,Patronato,Olimpo,,
21,Vélez Sarsfield,Unión,,
21,Defensa y Justicia,Lanús,,
21,San Martín (SJ),Belgrano,,
21,Talleres (C),Godoy Cruz,,
21,Banfield,Quilmes,,
21,Colón,Tigre,,
21,River Plate,Sarmiento,,
21,Racing Club,Atlético Tucumán,,
21,San Lorenzo,Temperley,,
21,Rosario Central,Gimnasia y Esgrima (LP),,
22,Rosario Central,Aldosivi,,
22,Gimnasia y Esgrima (LP),San Lorenzo,,
22,Temperley,Racing Club,,
22,Atlético Tucumán,River Plate,,
22,Sarmiento,Colón,,
22,Tigre,Banfield,,
22,Quilmes,Talleres (C),,
22,Godoy Cruz,San Martín (SJ),,
22,Belgrano,Defensa y Justicia,,
