Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Racing Club,Temperley,Silvio Trucco,6,0,0,183,108,274.6,241.9,73.3,78.3,3299,3480,3627
Huracán,Newell`s,Mauro Vigliano,4,0,0,178,240,271.6,205.7,51.5,51,1943,2317,2609
Chacarita,Tigre,Federico Rapallini,6,0,0,80,360,141.9,175.4,45,50.5,2149,2512,2796
Vélez,Atlético Tucumán,Germán Delfino,4,1,0,72,177,136.8,214.6,47.4,57.8,2216,2510,2743
Lanús,Boca Juniors,Fernando Echenique,6,0,0,75,266,156.6,133.9,68.3,58.6,3023,3254,3440
Godoy Cruz,Talleres,Darío Herrera,3,1,0,240,257,209.6,223.6,74.6,67.1,2533,2718,2870
Olimpo,Independiente,Jorge Baliño,2,0,0,65,297,159.2,132.1,42.3,46.3,2132,2460,2718
Belgrano,San Martín (SJ),Andrés Merlos,5,0,0,68,247,165.4,156.9,55.3,60.6,3127,3392,3603
Unión,Gimnasia,Nicolás Lamolina,4,0,0,69,216,188,246.5,65.8,50.5,2817,3123,3364
Atlético Tucumán,Chacarita,Facundo Tello,4,0,0,150,181,178.4,296.3,70.2,59.4,2409,2674,2885
Gimnasia,Huracán,Silvio Trucco,6,0,0,92,313,167.2,151.3,58.7,56.2,2954,3214,3421
Banfield,Racing Club,Ariel Penel,5,0,0,74,240,259.7,190.7,60.7,58.4,2949,3242,3475
Boca Juniors,Godoy Cruz,Germán Delfino,2,0,0,59,152,216.5,433,68.2,75.2,2965,3162,3322
Independiente,Lanús,Fernando Espinoza,5,0,2,106,323,195.2,204.4,88,83.4,3476,3612,3724
Def. y Justicia,Unión,Andrés Merlos,4,0,0,55,180,192.6,373,94,94.7,4292,4352,4404
Talleres,Vélez,Nicolás Lamolina,6,2,0,55,204,178.5,172.3,57.2,63.2,2192,2463,2678
Tigre,Patronato,Jorge Baliño,7,0,0,122,285,266,150.9,65.5,62.4,2480,2706,2887
Argentinos Juniors,Belgrano,Hernán Mastrángelo,6,0,0,68,246,132.8,189.9,56.9,48.4,2411,2693,2917
San Lorenzo,Arsenal,Federico Beligoy,5,0,0,66,269,205.2,189.1,62,59.8,2905,3153,3352
San Martín (SJ),River Plate,Fernando Echenique,3,0,0,180,300,284.3,133.9,58.4,51.6,2840,3123,3347
Newell`s,Olimpo,Pablo Echavarría,7,0,0,57,459,162.2,192.6,66.7,54.4,2907,3144,3334
Temperley,Rosario Central,Diego Abal,5,0,0,64,239,177,122,52.6,43.5,2329,2663,2925
Colón,Estudiantes,Pedro Argañaraz,2,0,0,81,247,167.6,173.4,65,61,2601,2867,3078
Colón,Def. y Justicia,Juan Pablo Pompei,4,0,0,82,268,271.2,189.6,59.5,64.2,2961,3164,3328
Estudiantes,San Lorenzo,Ariel Penel,4,0,0,59,189,119.5,248.7,59.8,58.2,2445,2722,2942
Patronato,Atlético Tucumán,Silvio Trucco,3,0,0,67,262,298.4,230.3,67.2,50.9,2835,3089,3292
Huracán,Unión,Facundo Tello,5,0,0,94,192,181.5,160,54.7,57.7,3124,3435,3680
River Plate,Argentinos Juniors,Diego Abal,5,0,2,73,197,168.8,264.2,57.1,49.2,2261,2629,2917
Racing Club,San Martín (SJ),Néstor Fabián Pitana,3,0,0,71,244,407.8,237.5,65.1,56.1,2825,3141,3391
Belgrano,Tigre,Federico Beligoy,5,1,0,69,309,206.2,204.1,62,55.9,1942,2258,2508
Godoy Cruz,Independiente,Patricio Loustau,4,0,2,63,250,247.6,176.7,70.6,71.2,2952,3188,3378
Chacarita,Talleres,Germán Delfino,4,3,0,20,256,255.9,241.2,82.5,72.4,2963,3166,3330
Vélez,Boca Juniors,Fernando Espinoza,5,0,0,120,50,177.4,642.3,58.2,64.1,2612,2883,3099
Lanús,Newell`s,Federico Rapallini,7,1,0,67,256,175.3,160.1,70.6,69.2,3012,3187,3329
Rosario Central,Banfield,Mauro Vigliano,3,0,2,70,123,198.9,243,67.5,57.1,2604,2852,3050
Arsenal,Temperley,Andrés Merlos,6,1,0,60,310,160.1,131.9,62.7,51.2,2574,2817,3011
Olimpo,Gimnasia,Darío Herrera,4,0,0,73,235,160.7,200.9,58.3,55.2,2453,2684,2869
Atlético Tucumán,Belgrano,Darío Herrera,5,0,0,72,184,194.7,159.1,48.2,59.3,2514,2819,3061
Unión,Olimpo,Pedro Argañaraz,3,1,0,65,120,199.5,382.7,56.8,62.5,2638,2914,3134
Gimnasia,Lanús,Patricio Loustau,6,0,4,234,248,301.8,182.3,99,66.9,3597,3738,3855
Argentinos Juniors,Racing Club,Mauro Vigliano,6,0,0,71,255,232.9,153.7,54.6,55.1,2171,2453,2677
Boca Juniors,Chacarita,Néstor Fabián Pitana,7,2,0,120,240,150.2,222,66.9,69.1,3384,3553,3692
Independiente,Vélez,Facundo Tello,8,1,0,68,242,213.1,180.4,64.6,54.5,2384,2660,2880
San Lorenzo,Colón,Fernando Espinoza,5,0,0,19,195,222.3,162.7,83.3,49.6,2515,2724,2892
Temperley,Estudiantes,Fernando Echenique,3,0,0,66,258,209.8,250.4,54.8,63.1,2978,3278,3515
Tigre,River Plate,Ariel Penel,3,0,4,131,177,312.3,289.9,77.1,73.8,3071,3268,3428
Def. y Justicia,Huracán,Hernán Mastrángelo,2,0,0,65,213,215.9,367.4,77.7,70.1,2582,2819,3009
Newell`s,Godoy Cruz,Andrés Merlos,5,1,0,70,250,176,303.4,60.5,67.2,2650,2938,3166
San Martín (SJ),Rosario Central,Juan Pablo Pompei,5,2,2,82,262,212.7,205.2,71.6,72.4,3110,3296,3447
Talleres,Patronato,Federico Rapallini,6,1,0,48,269,461,203.3,117.3,58.2,3521,3708,3859
Banfield,Arsenal,Jorge Baliño,6,1,0,139,242,189.1,492,71.1,85.7,2861,3069,3237
Belgrano,Talleres,Ariel Penel,3,0,0,59,174,136.9,164.4,50.8,53.8,1932,2260,2518
Colón,Temperley,Hernán Mastrángelo,4,0,0,72,205,298,227.6,72.4,59,2740,2972,3157
Estudiantes,Banfield,Andrés Merlos,3,0,0,65,182,336.5,247,67.3,66.7,2537,2808,3024
Patronato,Boca Juniors,Facundo Tello,5,0,0,58,259,211.3,156.3,59.2,49.9,2606,2883,3102
Vélez,Newell`s,Darío Herrera,4,0,0,60,316,219.6,252.1,67.7,79,2380,2606,2787
River Plate,Atlético Tucumán,Federico Beligoy,5,0,0,68,248,325.1,1066,64.3,69.8,2849,3131,3355
Racing Club,Tigre,Germán Delfino,4,1,0,63,221,333.9,332.3,80,64.6,2855,3057,3221
San Lorenzo,Def. y Justicia,Nicolás Lamolina,3,0,0,125,189,289.1,257.7,62.8,58.3,2828,3105,3324
Arsenal,San Martín (SJ),Diego Abal,2,0,0,63,253,239.8,187.5,72,52.6,3071,3331,3538
Chacarita,Independiente,Fernando Echenique,3,0,0,82,240,155.4,243.8,49.8,53.5,2288,2570,2794
Rosario Central,Argentinos Juniors,Pablo Echavarría,2,0,0,149,299,226.4,278.4,76.3,78,3875,4021,4142
Lanús,Unión,Juan Pablo Pompei,2,0,0,130,226,309,257.3,110.8,84,3565,3712,3833
Godoy Cruz,Gimnasia,Silvio Trucco,3,0,0,10,150,218.6,215.8,74.2,52,2758,3024,3235
Olimpo,Huracán,Fernando Espinoza,5,0,0,65,179,232.1,364,64.9,69.4,2823,3071,3269
Def. y Justicia,Olimpo,Federico Rapallini,4,0,0,60,177,288.6,257.1,61,53.9,2791,3073,3297
Banfield,Colón,Darío Herrera,5,0,2,59,195,168.5,160.9,58.6,51.6,2424,2684,2891
Unión,Godoy Cruz,Pablo Echavarría,2,0,4,60,179,472.4,263.1,69.2,59.5,3109,3375,3586
Gimnasia,Vélez,Andrés Merlos,4,0,0,63,73,163.2,200.6,71.8,69.2,2818,3026,3194
Tigre,Rosario Central,Néstor Fabián Pitana,4,0,0,300,307,147.9,175.9,63.3,54.5,2459,2690,2875
Boca Juniors,Belgrano,Silvio Trucco,6,1,0,5,128,272.9,242.9,65.1,84.1,3124,3334,3502
Independiente,Patronato,Juan Pablo Pompei,6,0,0,166,360,315.4,248,63.7,51.1,3028,3299,3515
Huracán,Lanús,Jorge Baliño,2,0,2,123,134,185.2,198.3,59.9,76.7,2914,3129,3301
Talleres,River Plate,Hernán Mastrángelo,4,0,2,58,124,222.7,240.2,55.9,62.9,2559,2852,3085
Newell`s,Chacarita,Diego Abal,3,0,0,68,245,205.8,177.9,79.5,62,2439,2653,2825
Argentinos Juniors,Arsenal,Ariel Penel,6,0,0,174,251,184.4,215.7,74.2,63.7,3258,3472,3645
San Martín (SJ),Estudiantes,Nicolás Lamolina,5,0,2,120,314,187.8,342.4,68.2,77,3320,3546,3727
Atlético Tucumán,Racing Club,Fernando Echenique,2,0,0,243,179,315.5,287.7,67.6,73.4,2573,2838,3050
Temperley,San Lorenzo,Mauro Vigliano,5,0,0,120,256,187,204,61.1,59.4,2607,2832,3013
Arsenal,Tigre,Patricio Loustau,2,0,0,72,191,179,204.5,76.6,78,3340,3509,3647
Temperley,Def. y Justicia,Darío Herrera,5,0,4,58,174,300.2,156.9,54,48.4,2340,2673,2936
Colón,San Martín (SJ),Juan Pablo Pompei,3,0,2,74,252,151.3,204.2,60.9,64.8,2334,2588,2791
Estudiantes,Argentinos Juniors,Pablo Echavarría,4,1,0,138,237,217.5,263.1,58.8,63.7,2939,3193,3396
Patronato,Newell`s,Nicolás Lamolina,2,1,0,65,251,176.9,255.7,64.9,50.6,2804,3097,3330
Belgrano,Independiente,Mauro Vigliano,3,1,0,60,197,175.8,243.1,56.7,69.6,3017,3231,3403
River Plate,Boca Juniors,Néstor Fabián Pitana,9,2,0,131,284,133.5,146.2,65.5,61,2815,2956,3072
Racing Club,Talleres,Federico Rapallini,8,2,0,9,424,219.1,171.8,54.5,60.3,2724,3007,3231
San Lorenzo,Banfield,Germán Delfino,1,0,2,93,249,259.8,163.7,68.5,59.1,3314,3580,3791
Rosario Central,Atlético Tucumán,Andrés Merlos,4,2,0,115,315,228.1,202.7,65.5,60.3,2626,2896,3112
