Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Aldosivi,Atlético Rafaela,Federico Beligoy,4,0,0,75,216,289,190.7857142857,63.975,42.5454545455,2416,2773,3052
Patronato,Arsenal,Facundo Tello,5,2,0,177,268,237.0909090909,169.7058823529,58.125,67.7441860465,2322,2532,2700
Vélez,Estudiantes,Andrés Merlos,6,0,0,37,187,198.3333333333,232.6363636364,54.0204081633,58.8085106383,2063,2305,2499
Def. y Justicia,Newell`s,Mauro Vigliano,4,0,0,15,183,438.4,133.2666666667,62.1025641026,64.5348837209,3417,3626,3794
San Martín (SJ),Huracán,Néstor Fabián Pitana,3,0,0,66,265,359.8571428571,199.4285714286,78.4411764706,53.7547169811,3582,3796,3969
Talleres,Independiente,Ariel Penel,4,0,0,73,304,268.875,204.5384615385,100.1111111111,85.7941176471,3531,3656,3759
Banfield,Boca Juniors,Darío Herrera,3,1,0,83,255,173.5,170.7058823529,52.1923076923,64.4888888889,2512,2738,2919
Colón,Olimpo,Nicolás Lamolina,5,1,0,91,205,207.5454545455,200.1428571429,53.9795918367,41.7536231884,1860,2217,2496
River Plate,Unión,Germán Delfino,4,0,0,90,192,285.5714285714,199.6666666667,54.5102040816,59.7608695652,2741,3041,3278
Racing Club,Lanús,Federico Rapallini,5,0,1,6,97,186.2857142857,137.5,79.0303030303,58.0833333333,3076,3251,3394
San Lorenzo,Belgrano,Patricio Loustau,8,0,1,75,190,201.7692307692,165.7142857143,72.9189189189,60.5869565217,2701,2893,3048
Rosario Central,Godoy Cruz,Diego Abal,5,0,1,64,255,111.9583333333,291.1111111111,67.175,60.125,2964,3150,3301
Gimnasia,Quilmes,Fernando Espinoza,6,0,1,160,265,123.1904761905,152.2777777778,47.1355932203,41.7142857143,1953,2327,2619
Temperley,Tigre,Silvio Trucco,5,0,0,86,152,265,247,88.9333333333,76.9714285714,3771,3918,4039
Atlético Tucumán,Sarmiento,Ariel Penel,3,0,1,90,250,183,216.9090909091,69.0526315789,63.7906976744,2979,3176,3336
Atlético Tucumán,Aldosivi,Nicolás Lamolina,6,0,0,67,257,366,232.7272727273,62,72.1,2566,2832,3043
Sarmiento,Temperley,Andrés Merlos,7,0,0,121,237,136.9444444444,189.7333333333,64.3255813953,51.1607142857,2402,2679,2899
Tigre,Gimnasia,Darío Herrera,3,1,0,189,258,171.6875,275.2,74.2432432432,63.2,3315,3518,3682
Quilmes,Rosario Central,Mariano González,3,0,0,71,233,147.8823529412,167.3125,54.1020408163,58.25,2639,2922,3146
Godoy Cruz,San Lorenzo,Facundo Tello,5,1,1,170,242,202.4545454545,156,61.9772727273,57.0212765957,2313,2579,2790
Belgrano,Racing Club,Juan Pablo Pompei,6,0,0,128,240,138.9,182.6,59.1063829787,58.1632653061,2846,3089,3283
Lanús,River Plate,Federico Beligoy,6,0,0,207,215,217.8333333333,212.6666666667,68.9756097561,69.1707317073,3045,3265,3442
Unión,Colón,Patricio Loustau,4,4,0,147,256,156,300.1111111111,53.2549019608,61.152173913,2195,2472,2692
Olimpo,Banfield,Néstor Fabián Pitana,8,0,0,89,240,434.6666666667,239.4545454545,56.6041666667,51.8214285714,2082,2393,2639
Boca Juniors,Talleres,Ariel Penel,3,0,0,82,252,317.1666666667,363.4,83.625,74.5555555556,3226,3446,3623
Independiente,San Martín (SJ),Silvio Trucco,3,0,0,60,316,182.0714285714,145.35,54.2857142857,43.6811594203,2567,2907,3173
Huracán,Def. y Justicia,Diego Abal,4,0,0,55,256,175.0769230769,228.1666666667,69.2368421053,54.7735849057,2602,2838,3028
Newell`s,Vélez,Germán Delfino,4,0,0,60,122,310.25,167.2307692308,65.4390243902,46.2295081967,2337,2660,2913
Estudiantes,Patronato,Héctor Paletta,6,0,0,123,256,134.2,188.9333333333,60.2272727273,52.5818181818,2517,2753,2943
Arsenal,Atlético Rafaela,Fernando Echenique,5,1,0,110,264,194.1428571429,219.25,67.95,46.0161290323,2465,2776,3021
Aldosivi,Arsenal,Diego Abal,5,0,0,73,209,169.6428571429,150,63.4761904762,49.1379310345,2751,2971,3148
Atlético Rafaela,Estudiantes,Jorge Baliño,5,1,0,119,300,202.5384615385,120.7368421053,56.387755102,55.4807692308,1985,2262,2481
Patronato,Newell`s,Darío Herrera,5,0,0,145,180,375.4285714286,231.4545454545,73.5135135135,77,2844,3029,3181
Vélez,Huracán,Hernán Mastrángelo,5,0,1,56,173,267.1,160.7333333333,54.7755102041,57.6530612245,2223,2534,2779
Def. y Justicia,Independiente,Ariel Penel,5,0,0,111,300,411,153.9473684211,58.1333333333,55.7735849057,2792,3086,3319
San Martín (SJ),Boca Juniors,Fernando Espinoza,7,0,0,191,249,160.2352941176,216.3846153846,65.6744186047,65.2,2331,2539,2708
Talleres,Olimpo,Fernando Echenique,6,1,0,180,265,166.5625,258.4,65.0697674419,69.975,2754,2980,3161
Banfield,Unión,Mauro Vigliano,3,1,0,62,301,292,181.6,63.5952380952,54.3818181818,2382,2670,2898
Colón,Lanús,Facundo Tello,5,0,0,127,254,306,263.5,106.2307692308,74.7297297297,3639,3792,3917
River Plate,Belgrano,Nicolás Lamolina,4,0,0,66,390,219,153.8421052632,72.7567567568,65.2173913043,3331,3523,3678
Racing Club,Godoy Cruz,Federico Beligoy,7,1,0,56,315,239.8181818182,250.6363636364,54.9583333333,62.3404255319,2803,3057,3259
San Lorenzo,Quilmes,Pedro Argañaraz,8,1,0,64,223,141.4666666667,188,58.2666666667,61.7111111111,2850,3093,3287
Rosario Central,Tigre,Andrés Merlos,4,0,0,60,226,150.1764705882,214.3636363636,58.6222222222,60.3636363636,2980,3188,3356
Gimnasia,Sarmiento,Mariano González,4,0,0,59,246,204.4166666667,149.2105263158,59,58.6,2595,2782,2933
Temperley,Atlético Tucumán,Juan Pablo Pompei,3,0,1,72,189,287.4444444444,285.6666666667,75.6388888889,73.5789473684,2853,3061,3229
Temperley,Aldosivi,Fernando Echenique,3,0,0,61,179,282.8333333333,190.4,65.4634146341,69,3272,3521,3719
Atlético Tucumán,Gimnasia,Facundo Tello,3,0,0,133,257,208.8333333333,235.3636363636,71.1794871795,61.0869565217,3096,3332,3522
Sarmiento,Rosario Central,Jorge Baliño,8,0,0,76,248,201.6153846154,185.8333333333,59.5681818182,52.4285714286,3218,3484,3695
Tigre,San Lorenzo,Germán Delfino,6,1,1,941,206,206.9166666667,161.2666666667,102.6571428571,57.46,3690,3875,4027
Quilmes,Racing Club,Héctor Paletta,8,1,1,68,266,187.7142857143,177.6428571429,55.9591836735,66.2954545455,2587,2819,3004
Godoy Cruz,River Plate,Patricio Loustau,4,0,0,165,267,326.25,406.1428571429,68.6842105263,52.3636363636,2872,3178,3419
Belgrano,Colón,Silvio Trucco,3,0,0,1,187,196.3333333333,207.9230769231,69.6666666667,54.5490196078,3456,3687,3872
Lanús,Banfield,Pedro Argañaraz,4,1,3,112,231,318,259.75,70.8717948718,77.2702702703,3023,3243,3420
Unión,Talleres,Diego Abal,3,1,1,63,249,165.3125,148.8235294118,55.6530612245,61.4680851064,2258,2501,2695
Olimpo,San Martín (SJ),Andrés Merlos,6,0,0,65,334,262.6,212.0769230769,90.5517241379,61.4489795918,2345,2560,2732
Boca Juniors,Def. y Justicia,Juan Pablo Pompei,6,0,0,69,207,220,137.4736842105,49.320754717,51.5185185185,2302,2619,2869
Independiente,Vélez,Nicolás Lamolina,8,0,0,131,240,165.0714285714,203.4615384615,54.9607843137,66.0714285714,2934,3182,3381
Huracán,Patronato,Federico Beligoy,6,0,0,61,262,202.7272727273,186.8666666667,61.1363636364,59.7551020408,2300,2554,2757
Newell`s,Atlético Rafaela,Federico Rapallini,4,0,1,40,295,219.9090909091,174.9333333333,66.025,57.8431372549,2645,2905,3112
Estudiantes,Arsenal,Ariel Penel,4,0,0,68,186,186.1666666667,232.3,62.1818181818,70.7179487179,3248,3462,3635
Aldosivi,Estudiantes,Facundo Tello,4,0,1,88,208,139.6111111111,122.35,53.1764705882,50.0178571429,2650,2904,3107
Arsenal,Newell`s,Mariano González,6,0,0,76,235,162.9375,159.0588235294,72.8648648649,71.1707317073,3469,3593,3697
Atlético Rafaela,Huracán,Ariel Penel,4,0,0,53,205,222.5833333333,280.125,55.1836734694,73.0256410256,2810,3075,3286
Patronato,Independiente,Juan Pablo Pompei,5,0,0,85,123,298.4444444444,152,69.1794871795,46.5862068966,2613,2924,3169
Vélez,Boca Juniors,Patricio Loustau,5,1,0,151,177,158.2857142857,275.1,61.3181818182,73.5128205128,2787,3019,3204
Def. y Justicia,Olimpo,Silvio Trucco,5,0,0,89,246,365.1428571429,180.8666666667,62.3409090909,55.2830188679,2344,2655,2900
San Martín (SJ),Unión,Hernán Mastrángelo,5,0,0,70,202,160.6875,196.4285714286,69.4864864865,82.7352941176,2943,3113,3251
Talleres,Lanús,Fernando Espinoza,5,1,1,63,173,272.3333333333,235.5555555556,107.1666666667,79.6571428571,3477,3618,3735
Banfield,Belgrano,Andrés Merlos,5,0,0,52,174,244.625,291.6666666667,78.875,75.8,2774,2954,3101
Colón,Godoy Cruz,Darío Herrera,6,1,0,147,200,158.7333333333,202.0769230769,53.0196078431,68.880952381,2758,3007,3205
River Plate,Quilmes,Federico Rapallini,8,0,0,147,183,198.9166666667,113.4347826087,69.925,53.1568627451,2954,3156,3320
Racing Club,Tigre,Pedro Argañaraz,6,0,1,0,0,202.5882352941,179.7777777778,62.5333333333,62.2121212121,2746,3018,3233
San Lorenzo,Sarmiento,Fernando Echenique,5,0,1,126,199,271.7777777778,209.25,103,71.3,3334,3492,3621
Rosario Central,Atlético Tucumán,Germán Delfino,6,1,0,154,242,355.8571428571,160.5882352941,84.6451612903,57.02,3048,3217,3355
Gimnasia,Temperley,Nicolás Lamolina,8,1,0,56,236,116.347826087,279.6,65.2682926829,57.22,2474,2695,2871
Gimnasia,Aldosivi,Andrés Merlos,6,1,0,75,209,181.7857142857,182.6428571429,80.3235294118,72.2162162162,3185,3326,3443
Temperley,Rosario Central,Silvio Trucco,8,1,0,115,409,230.3636363636,199.8461538462,80.7647058824,69.6744186047,3162,3331,3470
Atlético Tucumán,San Lorenzo,Mariano González,7,0,0,59,289,226.7272727273,215.625,66.825,92.3125,2829,3020,3176
Sarmiento,Racing Club,Patricio Loustau,6,0,0,160,270,202.3,182.5333333333,60,56.306122449,2541,2818,3037
Tigre,River Plate,Jorge Baliño,5,0,0,48,201,130.1176470588,141.3157894737,45.775862069,50.3333333333,2508,2842,3104
Quilmes,Colón,Mauro Vigliano,6,0,0,56,236,225.3636363636,177.0714285714,62.7,50.2413793103,2078,2372,2604
Godoy Cruz,Banfield,Diego Abal,3,2,1,41,168,284.8888888889,133,54.7659574468,55.7,2975,3234,3441
Belgrano,Talleres,Facundo Tello,3,0,0,116,187,180.7333333333,158.7058823529,96.8214285714,60.9782608696,3260,3413,3538
Lanús,San Martín (SJ),Fernando Echenique,4,0,0,177,307,189.2142857143,157.4285714286,69.1,81,3334,3526,3681
Unión,Def. y Justicia,Héctor Paletta,7,0,1,148,253,138.5555555556,158.7058823529,51.9814814815,48.0491803279,1992,2361,2648
Olimpo,Vélez,Darío Herrera,6,0,0,128,248,181.2,227.9090909091,59.5,59.4081632653,2629,2929,3166
Boca Juniors,Patronato,Germán Delfino,5,0,0,94,262,280.875,294.25,88.5666666667,70.1025641026,2650,2870,3047
Independiente,Atlético Rafaela,Néstor Fabián Pitana,5,0,0,135,237,146.6111111111,169.3571428571,63.3863636364,57.9791666667,2978,3226,3425
Huracán,Arsenal,Federico Rapallini,8,1,0,65,231,133.9411764706,243.2,58.9333333333,58.652173913,2665,2891,3072
Newell`s,Estudiantes,Fernando Espinoza,5,0,0,60,300,222.7,245.3636363636,83.5625,71.2195121951,2984,3192,3361
Aldosivi,Newell`s,Pedro Argañaraz,4,0,1,134,210,320.875,349,86.6875,79.4117647059,3708,3894,4045
Estudiantes,Huracán,Nicolás Lamolina,5,0,0,75,308,178.1538461538,276.6,64.3414634146,70.3333333333,3876,4061,4213
Arsenal,Independiente,Patricio Loustau,0,0,0,73,187,278.5,226.6363636364,79.1176470588,66.5813953488,2885,3116,3302
Atlético Rafaela,Boca Juniors,Facundo Tello,2,0,0,123,182,141.1578947368,237.4545454545,52.6078431373,43.2,2126,2500,2792
Patronato,Olimpo,Mauro Vigliano,7,0,1,74,300,177.2666666667,180.5625,55.3958333333,55.7169811321,2334,2577,2771
Vélez,Unión,Germán Delfino,5,0,1,82,360,260.3333333333,210.4166666667,64.8780487805,58.0408163265,2440,2734,2966
Def. y Justicia,Lanús,Mariano González,2,0,0,2,185,235.8888888889,530,84.7586206897,104.16,3601,3754,3879
San Martín (SJ),Belgrano,Néstor Fabián Pitana,3,1,0,59,250,170.9285714286,215.0833333333,70.5526315789,63.9772727273,2725,2933,3102
Talleres,Godoy Cruz,Jorge Baliño,6,0,1,57,207,460.6,269,70.1578947368,55.4509803922,3196,3478,3702
Banfield,Quilmes,Darío Herrera,7,3,2,64,301,189.4285714286,154.0555555556,67.325,71.8292682927,2471,2652,2799
Colón,Tigre,Hernán Mastrángelo,5,1,0,542,252,271.7272727273,216.75,60.6226415094,58.5,1987,2304,2553
River Plate,Sarmiento,Fernando Espinoza,2,0,0,70,304,267.6,264.9,67.9,69.2195121951,3409,3572,3706
Racing Club,Atlético Tucumán,Silvio Trucco,7,0,1,124,232,202.4615384615,314.4285714286,67.8461538462,67.1666666667,3152,3400,3599
San Lorenzo,Temperley,Federico Rapallini,7,0,0,58,251,143.8666666667,156.1764705882,65.3902439024,47.0983606557,2387,2664,2884
Rosario Central,Gimnasia,Fernando Echenique,10,1,0,184,528,192.1428571429,147.5263157895,106.5769230769,72.0227272727,3420,3534,3629
Rosario Central,Aldosivi,Patricio Loustau,2,0,0,63,159,132.2777777778,228.7272727273,62.487804878,63.7209302326,2669,2866,3026
Gimnasia,San Lorenzo,Néstor Fabián Pitana,4,0,0,26,237,179.6153846154,197.5384615385,79.5757575758,52.2962962963,2788,2986,3146
Temperley,Racing Club,Mauro Vigliano,3,0,0,202,180,236.4545454545,311.4444444444,67.6666666667,80.0857142857,2845,3042,3202
Atlético Tucumán,River Plate,Germán Delfino,1,0,0,13,115,194.5454545455,507.5,71.1891891892,85.6774193548,3187,3374,3525
Sarmiento,Colón,Federico Rapallini,7,0,0,140,41,294.8888888889,269.4444444444,76.0555555556,65.6097560976,2963,3171,3340
Tigre,Banfield,Facundo Tello,4,0,1,63,296,167.875,150.6666666667,46.3103448276,62.2708333333,2259,2547,2775
Quilmes,Talleres,Germán Delfino,7,1,0,60,318,216.5454545455,183.9333333333,76.5294117647,72.6052631579,3112,3220,3311
Godoy Cruz,San Martín (SJ),Andrés Merlos,6,0,0,71,251,163.875,260.3636363636,61.7272727273,59.7346938776,2452,2729,2949
Belgrano,Def. y Justicia,Nicolás Lamolina,7,0,1,19,189,174.6428571429,165.25,50.3725490196,52.0188679245,2208,2559,2834
Lanús,Vélez,Fernando Espinoza,8,0,0,72,240,243.7,156,65.3,67.9756097561,2909,3079,3217
Unión,Patronato,Diego Abal,9,0,1,65,240,183.3076923077,195.9230769231,61.3023255814,55.4423076923,2264,2552,2780
Olimpo,Atlético Rafaela,Ariel Penel,5,1,1,195,262,179.3333333333,337.625,55.375,59.8541666667,1627,1961,2224
Boca Juniors,Arsenal,Darío Herrera,5,0,0,80,149,147.6111111111,222.5833333333,63.2619047619,77.1111111111,3361,3491,3599
Independiente,Estudiantes,Jorge Baliño,6,0,1,132,250,145.1875,217.7692307692,74.75,56.62,3025,3239,3412
Huracán,Newell`s,Héctor Paletta,4,0,0,360,256,382.8333333333,260.9090909091,76.1842105263,58.06,3399,3653,3856
Aldosivi,Huracán,Hernán Mastrángelo,1,0,0,85,135,149.9333333333,248.1,49.7959183673,62,2455,2715,2922
Newell`s,Independiente,Fernando Espinoza,6,0,1,65,185,149.3529411765,335.8333333333,67,64.6511627907,3039,3186,3307
Estudiantes,Boca Juniors,Silvio Trucco,8,1,0,52,195,203.1666666667,188.7142857143,72.4594594595,71,2592,2778,2929
Arsenal,Olimpo,Héctor Paletta,4,0,0,42,370,288.8571428571,193.3846153846,66.425,52.8947368421,3072,3303,3489
Atlético Rafaela,Unión,Nicolás Lamolina,6,0,0,56,123,207.4545454545,241.9090909091,99.2173913043,53.9803921569,2820,3030,3198
Patronato,Lanús,Patricio Loustau,6,0,1,73,170,192.2727272727,253.7,72.6285714286,70.7179487179,3001,3210,3378
Vélez,Belgrano,Darío Herrera,7,1,0,64,240,126.619047619,145.0526315789,46.5762711864,49.9473684211,2249,2532,2756
Def. y Justicia,Godoy Cruz,Néstor Fabián Pitana,4,1,0,60,253,196.3846153846,142.45,53.8571428571,51.2321428571,1893,2216,2470
San Martín (SJ),Quilmes,Ariel Penel,3,0,0,178,300,276,197.3636363636,90.1290322581,79.2647058824,2819,2966,3087
Talleres,Tigre,Federico Beligoy,4,0,1,261,243,172.1538461538,318.875,63.9555555556,51.5090909091,2764,3099,3361
Banfield,Sarmiento,Pedro Argañaraz,4,0,2,67,184,189.4166666667,278.7,73.6486486486,62.2888888889,2860,3103,3297
Colón,Atlético Tucumán,Mariano González,4,1,0,142,286,244.4545454545,237.4545454545,91.4666666667,77.8055555556,3390,3537,3657
River Plate,Temperley,Fernando Echenique,3,0,1,70,75,192.4444444444,301.25,79.8529411765,70.3055555556,3150,3335,3487
Racing Club,Gimnasia,Facundo Tello,7,0,0,68,200,180.5333333333,182.3333333333,55.9387755102,57.82,2264,2552,2781
San Lorenzo,Rosario Central,Andrés Merlos,5,0,1,135,182,256.3333333333,238.5555555556,75.6857142857,72.7368421053,3601,3759,3888
Olimpo,Aldosivi,Silvio Trucco,7,0,0,59,193,204.6923076923,205.6666666667,48.3818181818,56.9591836735,2889,3166,3385
Boca Juniors,River Plate,Patricio Loustau,9,0,0,209,223,165,150.0625,67.380952381,60.6595744681,2363,2578,2750
Independiente,Racing Club,Diego Abal,7,0,0,59,259,150.1875,150.4117647059,63.7317073171,46.2786885246,2408,2667,2874
Huracán,San Lorenzo,Federico Rapallini,8,1,0,4,305,236.8,209.5454545455,57.6666666667,63.8444444444,2902,3185,3409
Newell`s,Rosario Central,Federico Beligoy,6,1,0,78,283,171.9333333333,122.3529411765,78.1515151515,62.8571428571,3140,3287,3408
Estudiantes,Gimnasia,Fernando Espinoza,8,0,0,163,275,207,120.125,65.3720930233,49.7068965517,2203,2473,2689
Arsenal,Temperley,Mariano González,4,1,0,0,189,286,152.7857142857,57.5,61.7391304348,2630,2833,2997
Atlético Rafaela,Atlético Tucumán,Facundo Tello,3,1,0,117,313,157.5,184.3571428571,60.3157894737,55.0961538462,2790,3050,3257
Patronato,Sarmiento,Nicolás Lamolina,2,0,0,3,196,191.8461538462,175.6666666667,146.9444444444,75.2857142857,3864,3875,3885
Vélez,Tigre,Pedro Argañaraz,5,0,2,121,271,278.2222222222,194.3333333333,56.4042553191,58.3,2160,2471,2717
Def. y Justicia,Quilmes,Jorge Baliño,9,1,0,126,392,118.5238095238,225.6,58.1458333333,61.0408163265,3482,3667,3819
San Martín (SJ),Godoy Cruz,Germán Delfino,6,0,1,62,316,189.8,248.3636363636,68.0526315789,75.8888888889,3233,3407,3550
Talleres,Belgrano,Néstor Fabián Pitana,9,0,0,132,184,158.0625,146.4210526316,54.3921568627,54.5490196078,3017,3282,3493
Banfield,Lanús,Fernando Echenique,7,2,0,104,253,116.1,190,58.8260869565,53.1481481481,3179,3394,3566
Colón,Unión,Darío Herrera,7,0,1,256,190,155.8888888889,146.0526315789,67.3953488372,55.78,1937,2185,2383
San Lorenzo,Aldosivi,Fernando Espinoza,8,0,0,77,308,121.4761904762,181.9090909091,55.6875,64.6956521739,2354,2608,2811
Rosario Central,Racing Club,Ariel Penel,5,0,1,296,18,337.625,173.6,88.1818181818,60.7272727273,2754,2962,3130
Gimnasia,River Plate,Federico Beligoy,8,0,0,74,123,203.5384615385,151.2222222222,62.6511627907,66.8292682927,3096,3271,3413
Temperley,Colón,Nicolás Lamolina,8,0,0,78,324,168.75,200.3076923077,54.52,57.06,2293,2535,2730
Atlético Tucumán,Banfield,Silvio Trucco,4,0,1,97,169,438.5,222.6,77.3823529412,72.4102564103,3633,3835,3999
Sarmiento,Talleres,Hernán Mastrángelo,3,0,0,98,60,289.2222222222,197.6153846154,104.2692307692,82.4117647059,3587,3690,3776
Tigre,San Martín (SJ),Darío Herrera,3,1,0,63,191,121.5,144.6875,66.825,61.3404255319,3131,3272,3389
Quilmes,Def. y Justicia,Federico Rapallini,10,0,0,212,239,201.1428571429,142.55,53.8490566038,47.064516129,2018,2358,2624
Godoy Cruz,Vélez,Patricio Loustau,3,1,1,77,93,226,164.4375,66.9743589744,53.82,2600,2797,2957
Belgrano,Patronato,Facundo Tello,4,0,0,206,180,291.6666666667,191.7857142857,77.8333333333,50.6363636364,3063,3306,3500
Lanús,Atlético Rafaela,Diego Abal,3,1,1,68,181,206.1818181818,169.75,66.7058823529,61.8181818182,3497,3682,3834
Unión,Arsenal,Jorge Baliño,6,0,0,73,245,171.3333333333,201.6428571429,151.1764705882,104.5555555556,4783,4783,4783
Olimpo,Estudiantes,Andrés Merlos,6,1,1,148,238,335.875,196.0714285714,58.9583333333,59.875,2289,2520,2705
Boca Juniors,Newell`s,Germán Delfino,4,1,0,84,250,213,187.3076923077,116.347826087,127.0909090909,4524,4554,4580
Independiente,Huracán,Fernando Echenique,2,0,1,68,378,244.7,207.25,93.6296296296,61,3487,3667,3814
Aldosivi,Independiente,Néstor Fabián Pitana,3,0,0,68,199,264.2222222222,432.1666666667,63.4,66.1395348837,2659,2895,3085
Huracán,Boca Juniors,Darío Herrera,9,0,1,57,404,173.9285714286,196.8571428571,55.2708333333,46.7868852459,2369,2709,2976
Newell`s,Olimpo,Jorge Baliño,6,0,0,81,319,195.2307692308,373.8571428571,53.2708333333,76.2894736842,3394,3637,3831
Estudiantes,Unión,Silvio Trucco,4,0,0,62,191,164.0625,164.7647058824,55.2291666667,51.7090909091,2525,2802,3022
Arsenal,Lanús,Juan Pablo Pompei,3,0,0,52,268,354.7142857143,194.1428571429,95.5,59.6875,2930,3115,3267
Atlético Rafaela,Belgrano,Ariel Penel,6,1,1,123,319,185.5454545455,178.4,45.6949152542,53.5535714286,1883,2229,2499
Patronato,Godoy Cruz,Federico Beligoy,6,0,0,60,246,142.9375,206.5,70.1052631579,54.9622641509,2830,3078,3276
Vélez,Quilmes,Fernando Echenique,4,0,0,79,301,180.8666666667,248.1,75.3611111111,51.4035087719,2748,3053,3294
Def. y Justicia,Tigre,Germán Delfino,2,1,0,93,302,192.1428571429,227.5833333333,58.1276595745,67.3409090909,2771,3054,3278
San Martín (SJ),Sarmiento,Facundo Tello,5,0,0,189,180,262.7,212.5,90.0322580645,57.4489795918,2928,3086,3215
Talleres,Atlético Tucumán,Diego Abal,2,0,0,68,173,149.1176470588,223.9166666667,65,69.641025641,3549,3730,3877
Banfield,Temperley,Fernando Espinoza,5,0,0,88,242,207.6363636364,193,51.9807692308,53.0545454545,2084,2338,2540
Colón,Gimnasia,Andrés Merlos,6,0,0,90,377,217.4166666667,147.85,67.5,56.8653846154,2318,2544,2725
River Plate,Rosario Central,Federico Rapallini,6,0,0,55,210,160.2666666667,164.75,46.0517241379,46.3606557377,1797,2217,2542
Racing Club,San Lorenzo,Patricio Loustau,7,1,0,197,251,241.7272727273,152.5,80.6176470588,65.2045454545,3009,3196,3347
Racing Club,Aldosivi,Fernando Echenique,1,0,0,54,240,428.2,300.375,61.4523809524,51.2909090909,2439,2779,3046
San Lorenzo,River Plate,Darío Herrera,6,0,1,136,195,211.75,262.8,70.358974359,59.170212766,2983,3214,3400
Rosario Central,Colón,Facundo Tello,7,0,0,120,181,147.4444444444,192.6428571429,97.9642857143,94.9655172414,4828,4829,4831
Gimnasia,Banfield,Juan Pablo Pompei,8,0,0,90,269,219.1818181818,264.0909090909,72.027027027,67.5581395349,3824,4016,4171
Temperley,Talleres,Jorge Baliño,4,0,1,203,240,156.625,231.5,63.2666666667,70.575,3334,3492,3621
Atlético Tucumán,San Martín (SJ),Pablo Echavarría,3,0,0,49,240,190.75,515.2,58.6585365854,78.0285714286,3615,3823,3992
Sarmiento,Def. y Justicia,Silvio Trucco,4,0,0,24,254,207.8333333333,151.5789473684,53.18,50.5263157895,2270,2558,2786
Tigre,Vélez,Federico Beligoy,6,0,0,71,246,175.3333333333,206.9230769231,65.9024390244,63.9545454545,3296,3504,3673
Quilmes,Patronato,Patricio Loustau,6,2,0,54,720,162.0769230769,310.9,49.1090909091,73.7608695652,2420,2703,2927
Godoy Cruz,Atlético Rafaela,Andrés Merlos,5,0,0,65,249,231.0909090909,258,52.862745098,50.6140350877,2478,2829,3104
Belgrano,Arsenal,Nicolás Lamolina,7,0,0,65,240,217.0833333333,276,56.1458333333,67.3170731707,2561,2776,2949
Lanús,Estudiantes,Ariel Penel,5,1,0,48,180,201.6153846154,304.5,103.4615384615,135.3333333333,4549,4570,4589
Unión,Newell`s,Fernando Espinoza,3,1,0,142,248,236.0909090909,271.2857142857,75.6666666667,57.0588235294,3033,3241,3409
Olimpo,Huracán,Néstor Fabián Pitana,8,1,1,128,326,197.5,156,62.2888888889,55.9245283019,2167,2415,2613
Boca Juniors,Independiente,Federico Rapallini,9,0,1,118,162,150.5714285714,143.6315789474,65.3902439024,54.2156862745,2343,2591,2790
Aldosivi,Boca Juniors,Patricio Loustau,5,1,1,72,55,183.6,176.7,73.1351351351,62.6315789474,2872,3069,3229
Independiente,Olimpo,Fernando Espinoza,7,0,0,127,300,176.1333333333,205.5714285714,62.9047619048,51.2280701754,2600,2854,3056
Huracán,Unión,Juan Pablo Pompei,5,0,0,61,348,184,198.7857142857,117.0909090909,106.5,4262,4267,4272
Newell`s,Lanús,Mauro Vigliano,4,0,0,85,198,165.4666666667,161.7058823529,61.7441860465,57.7551020408,2968,3194,3375
Estudiantes,Belgrano,Andrés Merlos,3,0,0,57,180,227.2727272727,156.4705882353,51.6981132075,47.8474576271,2262,2608,2878
Arsenal,Godoy Cruz,Pablo Echavarría,4,0,0,77,269,434,334.75,85.1,56.5576923077,3495,3715,3892
Atlético Rafaela,Quilmes,Federico Beligoy,7,2,1,186,281,166.5,221.1538461538,63.4285714286,61.5,3103,3322,3499
Patronato,Tigre,Jorge Baliño,5,0,1,120,284,192.5714285714,350.375,83.6666666667,75.7567567568,3208,3377,3516
Vélez,Sarmiento,Ariel Penel,6,0,1,193,19,266.2222222222,200.1818181818,114.4,74.6,3783,3808,3830
Def. y Justicia,Atlético Tucumán,Facundo Tello,1,0,0,66,131,198.8181818182,234.125,62.7441860465,60.9782608696,3377,3643,3854
San Martín (SJ),Temperley,Germán Delfino,6,0,0,90,304,141.0555555556,437.6666666667,59.1777777778,75.1842105263,3114,3288,3431
Talleres,Gimnasia,Silvio Trucco,3,1,0,126,382,209,197.4285714286,68.3947368421,64.8913043478,3005,3248,3442
Banfield,Rosario Central,Darío Herrera,8,1,1,131,263,152.2666666667,168.8666666667,71.5588235294,69.4146341463,2693,2823,2931
Colón,San Lorenzo,Federico Rapallini,7,2,0,61,302,229.3,217.6363636364,116.619047619,120.3913043478,3860,3871,3881
River Plate,Racing Club,Diego Abal,3,0,0,197,215,174,169.8125,63.1363636364,54.34,3221,3447,3628
River Plate,Aldosivi,Mauro Vigliano,3,0,0,122,189,217,386,76.3333333333,68.5365853659,3077,3325,3524
Racing Club,Colón,Darío Herrera,1,0,0,72,203,213.0909090909,203.3333333333,69.3611111111,54.1698113208,2065,2365,2602
San Lorenzo,Banfield,Fernando Espinoza,6,0,1,80,252,184.8571428571,400,66.9487179487,78.8611111111,2651,2865,3038
