Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
9,Wolverhampton Wanderers,Swansea City,Swansea City,Joe Allen,Shot inside goal area,Left foot,35,
9,Wolverhampton Wanderers,Swansea City,Wolverhampton Wanderers,Kevin Doyle,Shot following rebound,Foot,84,
9,Wolverhampton Wanderers,Swansea City,Wolverhampton Wanderers,Jamie O'Hara,Shot inside penalty area,Right foot,86,
10,Chelsea,Arsenal,Chelsea,Frank Lampard,Cross from open play,Head,14,
10,Chelsea,Arsenal,Arsenal,Robin van Persie,Shot inside goal area,Right foot,36,
10,Chelsea,Arsenal,Chelsea,John Terry,Cross from corner kick,Right foot,45,
10,Chelsea,Arsenal,Arsenal,André Santos,Shot inside goal area,Left foot,49,
10,Chelsea,Arsenal,Arsenal,Theo Walcott,Shot inside goal area,Right foot,55,
10,Chelsea,Arsenal,Chelsea,Juan Mata,Shot inside penalty area,Left foot,80,
10,Chelsea,Arsenal,Arsenal,Robin van Persie,Shot inside goal area,Right foot,85,
10,Chelsea,Arsenal,Arsenal,Robin van Persie,Shot inside goal area,Left foot,90,2
10,Everton,Manchester United,Manchester United,Javier Hernández,Cross from open play,Left foot,19,
10,Manchester City,Wolverhampton Wanderers,Manchester City,Edin Džeko,Shot outside penalty area,Right foot,52,
10,Manchester City,Wolverhampton Wanderers,Manchester City,Aleksandar Kolarov,Shot following rebound,Left foot,67,
10,Manchester City,Wolverhampton Wanderers,Manchester City,Adam Johnson,Shot outside penalty area,Left foot,90,
10,Norwich City,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Shot outside penalty area,Right foot,45,3
10,Norwich City,Blackburn Rovers,Norwich City,Steve Morison,Shot outside penalty area,Right foot,53,
10,Norwich City,Blackburn Rovers,Blackburn Rovers,Yakubu,Shot inside penalty area,Right foot,62,
10,Norwich City,Blackburn Rovers,Blackburn Rovers,Christopher Samba,Cross from free kick,Head,64,
10,Norwich City,Blackburn Rovers,Norwich City,Bradley Johnson,Shot outside penalty area,Left foot,82,
10,Stoke City,Newcastle United,Newcastle United,Demba Ba,Cross from open play,Head,12,
10,Stoke City,Newcastle United,Newcastle United,Demba Ba,Cross from open play,Left foot,40,
10,Sunderland,Aston Villa,Aston Villa,Stiliyan Petrov,Shot outside penalty area,Left foot,20,
10,Sunderland,Aston Villa,Sunderland,Connor Wickham,Shot inside penalty area,Left foot,38,
10,Sunderland,Aston Villa,Aston Villa,Richard Dunne,Cross from free kick,Head,85,
10,Sunderland,Aston Villa,Sunderland,Stéphane Sessègnon,Cross from free kick,Head,89,
10,Swansea City,Bolton Wanderers,Swansea City,Joe Allen,Shot inside penalty area,Right foot,49,
10,Swansea City,Bolton Wanderers,Bolton Wanderers,Danny Graham,Cross from open play,Foot,74,
10,Swansea City,Bolton Wanderers,Swansea City,Danny Graham,Through pass creates 1-v-1,Right foot,90,3
10,Tottenham Hotspur,Queens Park Rangers,Tottenham Hotspur,Gareth Bale,Shot inside penalty area,Left foot,20,
10,Tottenham Hotspur,Queens Park Rangers,Tottenham Hotspur,Rafael van der Vaart,Shot following rebound,Left foot,33,
10,Tottenham Hotspur,Queens Park Rangers,Queens Park Rangers,Jay Bothroyd,Flick on from corner kick,Head,62,
10,Tottenham Hotspur,Queens Park Rangers,Tottenham Hotspur,Gareth Bale,Shot inside penalty area,Left foot,72,
10,West Bromwich Albion,Liverpool,Liverpool,Andy Carroll,Shot inside penalty area,Left foot,45,1
10,Wigan Athletic,Fulham,Fulham,Clint Dempsey,Shot inside goal area,Right foot,41,
10,Wigan Athletic,Fulham,Fulham,Moussa Dembélé,Shot outside penalty area,Left foot,87,
11,Arsenal,West Bromwich Albion,Arsenal,Robin van Persie,Shot following rebound,Right foot,22,
11,Arsenal,West Bromwich Albion,Arsenal,Thomas Vermaelen,Cross from open play,Left foot,39,
11,Arsenal,West Bromwich Albion,Arsenal,Mikel Arteta,Shot inside penalty area,Right foot,74,
11,Aston Villa,Norwich City,Norwich City,Anthony Pilkington,Direct from free kick,Foot,25,
