home_team,away_team,apt
Tokyo Verdy,Montedio Yamagata,3199
Consadole Sapporo,Avispa Fukuoka,3201
Montedio Yamagata,Kyoto Sanga FC,3203
Gainare Tottori,Roasso Kumamoto,3203
Tokushima Vortis,V-Varen Nagasaki,3204
Avispa Fukuoka,Tokyo Verdy,3207
Kataller Toyama,Giravanz Kitakyushu,3207
Tokyo Verdy,Kataller Toyama,3207
Vissel Kobe,Tokyo Verdy,3208
Consadole Sapporo,Vissel Kobe,3210
Gainare Tottori,Mito Hollyhock,3211
Kyoto Sanga FC,Matsumoto Yamaga FC,3213
Avispa Fukuoka,Consadole Sapporo,3216
Avispa Fukuoka,Yokohama FC,3216
Ehime FC,Tokushima Vortis,3217
JEF United Chiba,Vissel Kobe,3217
Giravanz Kitakyushu,Tokyo Verdy,3218
Yokohama FC,Gainare Tottori,3221
Matsumoto Yamaga FC,JEF United Chiba,3221
JEF United Chiba,Kyoto Sanga FC,3221
Gainare Tottori,Vissel Kobe,3226
JEF United Chiba,Kataller Toyama,3227
FC Gifu,Consadole Sapporo,3227
Yokohama FC,Tokushima Vortis,3228
Tokushima Vortis,Tochigi SC,3229
Montedio Yamagata,Gamba Osaka,3231
Gamba Osaka,Montedio Yamagata,3235
Kyoto Sanga FC,Fagiano Okayama,3236
Matsumoto Yamaga FC,Gamba Osaka,3236
Avispa Fukuoka,Tokushima Vortis,3240
Kyoto Sanga FC,Vissel Kobe,3242
Vissel Kobe,Tokushima Vortis,3243
Vissel Kobe,Matsumoto Yamaga FC,3244
Matsumoto Yamaga FC,Tokyo Verdy,3248
Thespa Kusatsu Gunma,Mito Hollyhock,3250
Gamba Osaka,Kyoto Sanga FC,3251
Thespa Kusatsu Gunma,JEF United Chiba,3251
FC Gifu,Tokyo Verdy,3254
Gamba Osaka,Tokyo Verdy,3255
Mito Hollyhock,Gamba Osaka,3256
Yokohama FC,Kataller Toyama,3257
Yokohama FC,Tochigi SC,3257
Vissel Kobe,Montedio Yamagata,3258
Vissel Kobe,Roasso Kumamoto,3258
Giravanz Kitakyushu,Yokohama FC,3259
Mito Hollyhock,Montedio Yamagata,3259
Yokohama FC,Consadole Sapporo,3260
Montedio Yamagata,Consadole Sapporo,3263
Mito Hollyhock,Ehime FC,3264
Fagiano Okayama,V-Varen Nagasaki,3267
Ehime FC,Gainare Tottori,3268
Matsumoto Yamaga FC,Tokushima Vortis,3268
Ehime FC,JEF United Chiba,3271
Kyoto Sanga FC,Consadole Sapporo,3271
FC Gifu,Fagiano Okayama,3281
Tokushima Vortis,Kataller Toyama,3282
Thespa Kusatsu Gunma,Vissel Kobe,3283
FC Gifu,Vissel Kobe,3286
Yokohama FC,Thespa Kusatsu Gunma,3288
Mito Hollyhock,Yokohama FC,3290
Tokyo Verdy,Consadole Sapporo,3294
Vissel Kobe,Kataller Toyama,3296
Kyoto Sanga FC,FC Gifu,3298
JEF United Chiba,Tochigi SC,3298
Ehime FC,Consadole Sapporo,3299
Roasso Kumamoto,Matsumoto Yamaga FC,3299
JEF United Chiba,Tokyo Verdy,3302
Fagiano Okayama,Thespa Kusatsu Gunma,3303
Kataller Toyama,Vissel Kobe,3304
Montedio Yamagata,Fagiano Okayama,3304
Thespa Kusatsu Gunma,Giravanz Kitakyushu,3306
Vissel Kobe,Thespa Kusatsu Gunma,3308
Tochigi SC,FC Gifu,3309
Gainare Tottori,Tochigi SC,3315
Montedio Yamagata,JEF United Chiba,3316
JEF United Chiba,Matsumoto Yamaga FC,3318
Kyoto Sanga FC,Yokohama FC,3320
Vissel Kobe,Giravanz Kitakyushu,3321
Fagiano Okayama,Avispa Fukuoka,3321
Roasso Kumamoto,Mito Hollyhock,3322
V-Varen Nagasaki,Gainare Tottori,3324
Tokushima Vortis,Ehime FC,3327
Thespa Kusatsu Gunma,Kataller Toyama,3327
Vissel Kobe,Tochigi SC,3327
Fagiano Okayama,Kyoto Sanga FC,3328
JEF United Chiba,Avispa Fukuoka,3328
Giravanz Kitakyushu,Roasso Kumamoto,3330
Mito Hollyhock,Vissel Kobe,3331
Vissel Kobe,Kyoto Sanga FC,3334
Mito Hollyhock,Fagiano Okayama,3336
Fagiano Okayama,Kataller Toyama,3336
Tokyo Verdy,Tochigi SC,3337
Gamba Osaka,Giravanz Kitakyushu,3337
Kyoto Sanga FC,Giravanz Kitakyushu,3340
V-Varen Nagasaki,Consadole Sapporo,3344
Tokyo Verdy,JEF United Chiba,3348
Tokyo Verdy,Gainare Tottori,3349
Kataller Toyama,Fagiano Okayama,3353
Thespa Kusatsu Gunma,Kyoto Sanga FC,3354
Fagiano Okayama,Roasso Kumamoto,3358
Tokyo Verdy,Fagiano Okayama,3365
JEF United Chiba,Ehime FC,3368
Consadole Sapporo,Giravanz Kitakyushu,3368
Giravanz Kitakyushu,Thespa Kusatsu Gunma,3369
FC Gifu,Thespa Kusatsu Gunma,3370
Matsumoto Yamaga FC,Vissel Kobe,3371
Tokyo Verdy,Gamba Osaka,3371
Ehime FC,Tochigi SC,3372
Tokushima Vortis,Yokohama FC,3372
Tochigi SC,Avispa Fukuoka,3376
JEF United Chiba,Consadole Sapporo,3378
Ehime FC,Giravanz Kitakyushu,3379
Vissel Kobe,JEF United Chiba,3381
Tokyo Verdy,Mito Hollyhock,3383
Avispa Fukuoka,Ehime FC,3384
Gamba Osaka,Consadole Sapporo,3384
Tochigi SC,Vissel Kobe,3390
Vissel Kobe,Gamba Osaka,3393
Vissel Kobe,Ehime FC,3393
Avispa Fukuoka,Kataller Toyama,3394
Avispa Fukuoka,Gainare Tottori,3396
Tochigi SC,V-Varen Nagasaki,3398
Tokushima Vortis,Vissel Kobe,3401
Yokohama FC,Vissel Kobe,3401
Gainare Tottori,Giravanz Kitakyushu,3401
Avispa Fukuoka,Mito Hollyhock,3403
Thespa Kusatsu Gunma,Yokohama FC,3409
Yokohama FC,Ehime FC,3409
JEF United Chiba,Gamba Osaka,3416
Yokohama FC,Mito Hollyhock,3418
Kataller Toyama,Tokyo Verdy,3419
Tokyo Verdy,Vissel Kobe,3419
Avispa Fukuoka,Fagiano Okayama,3420
Kyoto Sanga FC,Gamba Osaka,3422
Tochigi SC,Kataller Toyama,3423
Kyoto Sanga FC,Gainare Tottori,3425
Yokohama FC,Tokyo Verdy,3429
Consadole Sapporo,Gainare Tottori,3430
Giravanz Kitakyushu,JEF United Chiba,3432
JEF United Chiba,Yokohama FC,3434
Gainare Tottori,Consadole Sapporo,3442
JEF United Chiba,Thespa Kusatsu Gunma,3443
Tokushima Vortis,FC Gifu,3444
Tokyo Verdy,Yokohama FC,3458
Tokushima Vortis,JEF United Chiba,3459
Gainare Tottori,Kyoto Sanga FC,3464
Ehime FC,Montedio Yamagata,3467
Roasso Kumamoto,Consadole Sapporo,3468
Gamba Osaka,Kataller Toyama,3471
Vissel Kobe,Fagiano Okayama,3473
Ehime FC,V-Varen Nagasaki,3473
Gainare Tottori,Gamba Osaka,3475
Ehime FC,Thespa Kusatsu Gunma,3476
Tokyo Verdy,Thespa Kusatsu Gunma,3477
Vissel Kobe,Yokohama FC,3478
Vissel Kobe,FC Gifu,3479
Ehime FC,Avispa Fukuoka,3479
Vissel Kobe,Mito Hollyhock,3481
V-Varen Nagasaki,Tokyo Verdy,3484
